,Unnamed: 0,names,quantity,names_encoded,predicted_quantity
760,760.0,GANDALF,4,2068,
761,761.0,GEORGINA,4,2109,
762,762.0,GERTRUDE,4,2119,
763,763.0,GILLIGAN,4,2141,
764,764.0,GNOCCHI,4,2177,
765,765.0,GOLDEN,4,2182,
766,766.0,GOLDIE,4,2183,
767,767.0,GREMLIN,4,2224,
768,768.0,GRETEL,4,2228,
769,769.0,GUINESS,4,2259,
770,770.0,HARPER,4,2330,
771,771.0,HEIDI,4,2362,
772,772.0,HERA,4,2381,
773,773.0,HOBBES,4,2414,
774,774.0,IKE,4,2491,
775,775.0,JAXON,4,2595,
776,776.0,JAY,4,2598,
777,777.0,JEFF,4,2616,
778,778.0,JELLO,4,2618,
779,779.0,JELLY,4,2619,
780,780.0,JESSICA,4,2640,
781,781.0,JIJI,4,2658,
782,782.0,JINGLES,4,2670,
783,783.0,KAT,4,2791,
784,784.0,KATY,4,2810,
785,785.0,KC,4,2826,
786,786.0,KIKO,4,2884,
787,787.0,KIMCHI,4,2891,
788,788.0,KRONK,4,3006,
789,789.0,LARRY,4,3076,
790,790.0,LEON,4,3141,
791,791.0,LEONARD,4,3142,
792,792.0,LIBBY,4,3167,
